#{"t_start": 1631354988.8714797, "env_id": null}
r,l,t
-0.85715127,63,1799.792308
-0.84998053,66,1803.085951
-0.77374977,67,1806.327367
-0.79536945,68,1809.843437
-0.83047396,68,1813.283267
-0.8285768,67,1816.630027
-0.8048374,68,1819.869695
-0.88375777,66,1823.02394
-0.8634226,69,1826.630086
-0.79227316,68,1829.994816
-0.77037823,68,1833.426681
-0.90384233,68,1836.607817
-0.7797008,66,1839.676636
-0.87389356,66,1842.828936
-0.8878173,65,1845.940705
-0.79989666,69,1849.536712
-0.70373785,68,1853.583096
-0.8520068,67,1857.190657
-0.86392194,67,1860.408054
-0.79191184,66,1863.78568
-0.84446084,66,1867.014849
-0.81781846,67,1870.29096
-0.8657978,66,1873.505687
-0.86153716,70,1877.131896
-0.8453851,66,1880.492611
-0.84701484,66,1883.876616
-0.8399021,65,1887.086591
-0.817673,69,1890.377804
-0.8718678,68,1893.813948
-0.8386292,68,1897.112157
-0.8815179,65,1900.356789
-0.85327643,66,1903.530121
-0.8760193,66,1906.638319
-0.81470966,68,1909.889821
-0.9007905,69,1913.33171
-0.8088344,69,1916.524217
-0.8430409,66,1919.628106
-0.81546074,68,1922.968529
-0.8708662,67,1926.253219
-0.816018,65,1929.481653
-0.74734575,68,1933.104618
-0.80700904,66,1936.418528
-0.84869504,66,1939.623447
-0.98395455,65,1942.936497
-0.8766476,67,1946.134867
-0.91995025,68,1949.333448
-0.8277073,67,1952.591437
-0.6990932,67,1955.773079
-0.89534694,66,1958.978566
-0.8750988,66,1962.31586
-0.74274635,68,1965.570681
-0.8179652,68,1968.855779
-0.7836742,68,1972.154101
-0.6048698,67,1975.322361
-0.894104,67,1978.72949
-0.8036956,70,1982.029399
-0.88890374,69,1985.375546
-0.8298215,67,1988.51448
-0.82929516,67,1991.89683
-0.91350454,67,1995.243554
-0.8431735,69,1998.672693
-0.8437633,68,2001.955405
-0.78979295,68,2005.253137
-0.9395524,67,2008.410774
-0.8199995,67,2011.666431
-0.7783937,68,2014.82484
-0.812387,69,2018.126243
-0.9091581,65,2021.146993
-0.83169925,67,2024.305708
-0.8554976,68,2027.667139
-0.84042984,67,2030.808138
-0.80766535,67,2034.015433
-0.9406291,66,2037.258465
-0.74230057,67,2040.418833
-0.78922373,68,2043.696581
-0.82792413,68,2047.069616
-0.8604098,67,2050.134282
-0.88014495,65,2053.186691
-0.80277276,70,2056.428948
-0.7964615,68,2059.742207
-0.7979313,68,2063.058826
-0.7837367,68,2066.250503
-0.8921133,65,2069.407798
-0.8540141,67,2072.523255
-0.8092324,68,2075.770737
-0.81751883,67,2079.177379
-0.8751305,68,2082.414338
-0.76276433,67,2085.680162
-0.89373934,67,2088.906998
-0.7646897,68,2092.301624
-0.80524427,65,2095.474915
-0.84173167,67,2098.717122
-0.8001179,67,2102.023443
-1.1930476,67,2105.162868
-0.93031216,66,2108.317603
-0.74870104,68,2111.626351
-0.8617833,66,2114.730589
-0.7809019,68,2117.98748
-0.79949903,66,2121.106427
-0.82247406,65,2124.342616
-0.80074424,67,2127.663716
-0.7775919,68,2130.969481
-0.87939817,66,2134.351663
-0.8934002,67,2137.71933
-0.8970971,67,2140.924891
-0.82666,67,2144.266536
-0.8124946,67,2147.665809
-0.81901777,66,2150.81935
-0.8063024,68,2154.158807
-0.88893074,66,2157.320589
-0.9093623,64,2160.462042
-0.8280704,65,2163.792544
-0.9602032,63,2166.842355
-0.9099377,66,2169.985514
-0.80165344,67,2173.224132
-0.85938275,69,2176.664595
-0.928945,66,2179.889164
-0.80107576,66,2183.183297
-0.8021099,66,2186.339697
-0.8374163,65,2189.61167
-0.8553109,67,2193.109078
-0.8727166,66,2196.371212
-0.82479715,67,2199.786445
-0.84187335,64,2202.871244
-0.89381164,64,2206.186523
-0.9231321,65,2209.59912
-0.9416934,66,2213.02597
-0.8399738,66,2216.258586
-0.8697494,69,2219.579562
-0.85645765,68,2222.874065
-0.85436994,66,2226.191315
-0.8674644,66,2229.464234
-0.87556297,66,2232.836399
-0.8947362,66,2235.976608
-0.8315497,67,2239.153342
-0.84409946,70,2242.659144
-0.82489187,66,2245.910041
-0.8682329,67,2249.260163
-0.8372377,66,2252.513076
-0.87741804,65,2255.621837
-0.8760462,70,2259.1421
-0.86561733,65,2263.006012
-0.8729572,67,2266.46061
-0.8940675,65,2269.86214
-0.8588765,67,2273.107458
-0.86225176,66,2276.41431
-1.1078023,67,2279.684028
-0.81393045,66,2282.817717
-0.9634743,64,2285.523166
-0.8387175,68,2288.526444
-0.7480257,67,2291.376807
-0.82632256,67,2294.158212
-0.8719192,67,2297.087533
-0.83129996,65,2299.864941
-0.82842034,66,2302.631352
-0.8851454,66,2305.388773
-0.86141795,67,2308.05924
-0.88534635,66,2310.841644
-0.8501535,66,2313.473135
-0.89481956,67,2316.313506
-0.89954877,69,2319.661231
-0.8098243,66,2323.098485
-0.88979805,67,2326.598943
-0.8726538,66,2330.099749
-0.9056462,67,2333.564615
-0.91554236,66,2336.900948
-0.86629915,66,2340.261755
-0.91108674,66,2343.578063
-0.89526415,65,2347.100378
-0.9023006,66,2350.581023
-0.87517065,66,2354.105685
-0.87196475,68,2357.524637
-0.85522574,65,2360.699711
-0.9119063,68,2364.023378
-1.0497178,67,2367.349572
-0.9030456,68,2370.790831
-0.91244066,69,2374.692418
-0.89723766,66,2378.132035
-0.9302389,68,2381.383624
-0.80828434,66,2384.620645
-0.8668403,68,2388.15959
-0.8784847,67,2391.610408
